datetime,Mean_Returns_10,Sharpe_Ratio_10,Calmar_Ratio_10,Skewness_10,Kurtosis_10,ACF_Lag_1_10,ACF_Lag_2_10,ACF_Lag_3_10,ACF_Lag_4_10,ACF_Lag_5_10,ACF_Lag_6_10,ACF_Lag_7_10,ACF_Lag_8_10,Jarque-Bera_statistic,Jarque-Bera_pvalue,VaR_95_10,CVaR_95_10,Omega_Ratio_10,Mean_Returns_30,Sharpe_Ratio_30,Calmar_Ratio_30,Skewness_30,Kurtosis_30,ACF_Lag_1_30,ACF_Lag_2_30,ACF_Lag_3_30,ACF_Lag_4_30,ACF_Lag_5_30,ACF_Lag_6_30,ACF_Lag_7_30,ACF_Lag_8_30,ACF_Lag_9_30,ACF_Lag_10_30,VaR_95_30,CVaR_95_30,Omega_Ratio_30,Cumulative_Returns,Log_Returns,Volatility_of_Volatility_30_x,Max_Drawdown_Duration_30_x,Historical_Volatility_10,Realized_Volatility_10,EWMA_Volatility_10,Parkinson_Volatility_10,Garman_Klass_Volatility_10,Volatility_of_Volatility_10,Max_Drawdown_Duration_10,Historical_Volatility_30,Realized_Volatility_30,EWMA_Volatility_30,Parkinson_Volatility_30,Garman_Klass_Volatility_30,Volatility_of_Volatility_30_y,Max_Drawdown_Duration_30_y,MACD_10,MACD_Signal_10,MACD_Diff_10,RSI_10,ADX_10,Momentum_10,OU_Theta_10,MACD_30,MACD_Signal_30,MACD_Diff_30,RSI_30,ADX_30,Momentum_30,OU_Theta_30
2022-07-01,0.0258508136839059,6.085980508313629,0.2386226214600586,0.5569170996114559,-0.272781506496938,0.2261470779122557,-0.4064448322187782,-0.3530119008052889,-0.6867335098424363,-0.3449193846848736,0.7763344254025795,0.6681811658485531,1.0,9.163710167922387,0.0102358902371292,-0.0570246452452998,-0.0656008738092934,2.943640146926912,0.012145974149093,4.313303612141566,0.3534338617011265,1.1072862465247877,2.2592018654852297,0.1002600843110714,-0.3717620335839527,-0.1227202136476086,-0.3467455408336936,-0.0155741078804489,0.5145948139311122,0.12981062559737,-0.3733116420807126,-0.1012074427816534,0.089538556857456,-0.0452103890786462,-0.0560717309604117,2.224094283080013,-0.0081768734170222,-0.0082104874101126,0.0082382292143948,7.0,0.5077530153329446,0.4152107815864647,0.0,0.6773281349323546,0.7341976058884202,0.2938124507407546,444.0,0.8872402984264424,0.609482047180838,0.0,1.2010529911445635,1.29463432893564,0.1053473210238414,444.0,-2069.826436211872,-2264.73556788702,194.90913167514827,27.071486764505323,56.12367745368823,0.0,0.1465284735145698,-2069.826436211872,-2264.73556788702,194.90913167514827,33.255615944436414,38.672695609293406,0.0,0.0460773901594385
2022-07-02,0.0258508136839059,6.085980508313629,0.2386226214600586,0.5569170996114559,-0.272781506496938,0.2261470779122557,-0.4064448322187782,-0.3530119008052889,-0.6867335098424363,-0.3449193846848736,0.7763344254025795,0.6681811658485531,1.0,9.163710167922387,0.0102358902371292,-0.0570246452452998,-0.0656008738092934,2.943640146926912,0.012145974149093,4.313303612141566,0.3534338617011265,1.1072862465247877,2.2592018654852297,0.1002600843110714,-0.3717620335839527,-0.1227202136476086,-0.3467455408336936,-0.0155741078804489,0.5145948139311122,0.12981062559737,-0.3733116420807126,-0.1012074427816534,0.089538556857456,-0.0452103890786462,-0.0560717309604117,2.224094283080013,-0.0095250122526859,-0.0013601779003525,0.0082382292143948,7.0,0.4693021438078323,0.3492037257153018,0.0,0.6526492683815487,0.7155059726157117,0.2520602099660357,445.0,0.8791802783204664,0.596972840431395,0.0,1.1994592020784247,1.2934008783357107,0.1054325771811158,445.0,-2034.7968913320144,-2218.747832576019,183.9509412440043,26.91546522721696,55.15712644774966,0.0,-0.0562660010019723,-2034.7968913320144,-2218.747832576019,183.9509412440043,33.21151869450142,39.006943929596254,0.0,0.0476309782113709
2022-07-03,0.0258508136839059,6.085980508313629,0.2386226214600586,0.5569170996114559,-0.272781506496938,0.2261470779122557,-0.4064448322187782,-0.3530119008052889,-0.6867335098424363,-0.3449193846848736,0.7763344254025795,0.6681811658485531,1.0,9.163710167922387,0.0102358902371292,-0.0570246452452998,-0.0656008738092934,2.943640146926912,0.012145974149093,4.313303612141566,0.3534338617011265,1.1072862465247877,2.2592018654852297,0.1002600843110714,-0.3717620335839527,-0.1227202136476086,-0.3467455408336936,-0.0155741078804489,0.5145948139311122,0.12981062559737,-0.3733116420807126,-0.1012074427816534,0.089538556857456,-0.0452103890786462,-0.0560717309604117,2.224094283080013,0.1411138958125395,0.1415755522537852,0.0082382292143948,7.0,0.2720552426192288,0.2515052326932092,0.0,0.627427385303514,0.71338554319696,0.2671271945757932,446.0,0.8807893741202816,0.5831395798069862,0.0,1.198744958669821,1.2936064515744583,0.1053708785184344,446.0,-1978.9783374650945,-2170.793933553834,191.81559608873977,27.88070317291718,53.819593351234445,0.0,0.0617407641296452,-1978.9783374650945,-2170.793933553834,191.81559608873977,33.40245168558971,39.28902820738331,0.0,0.0587009699091883
2022-07-04,0.0258508136839059,6.085980508313629,0.2386226214600586,0.5569170996114559,-0.272781506496938,0.2261470779122557,-0.4064448322187782,-0.3530119008052889,-0.6867335098424363,-0.3449193846848736,0.7763344254025795,0.6681811658485531,1.0,9.163710167922387,0.0102358902371292,-0.0570246452452998,-0.0656008738092934,2.943640146926912,0.012145974149093,4.313303612141566,0.3534338617011265,1.1072862465247877,2.2592018654852297,0.1002600843110714,-0.3717620335839527,-0.1227202136476086,-0.3467455408336936,-0.0155741078804489,0.5145948139311122,0.12981062559737,-0.3733116420807126,-0.1012074427816534,0.089538556857456,-0.0452103890786462,-0.0560717309604117,2.224094283080013,0.2062502677305266,0.0555117086804822,0.0082382292143948,7.0,0.4275230576870537,0.328360553147525,0.7778082138653589,0.6565364279436556,0.728495919375936,0.2388430432136996,447.0,0.9037803148397052,0.6092652087610958,0.0,1.2061588603355349,1.2992620294739758,0.1047542961696,447.0,-1839.247238709362,-2104.48459458494,265.2373558755776,40.29168151322472,50.962723755154144,0.0,0.3414256170317719,-1839.247238709362,-2104.48459458494,265.2373558755776,36.08004083890253,39.40997625517501,0.0,0.0793553217013149
2022-07-05,0.0258508136839059,6.085980508313629,0.2386226214600586,0.5569170996114559,-0.272781506496938,0.2261470779122557,-0.4064448322187782,-0.3530119008052889,-0.6867335098424363,-0.3449193846848736,0.7763344254025795,0.6681811658485531,1.0,9.163710167922387,0.0102358902371292,-0.0570246452452998,-0.0656008738092934,2.943640146926912,0.012145974149093,4.313303612141566,0.3534338617011265,1.1072862465247877,2.2592018654852297,0.1002600843110714,-0.3717620335839527,-0.1227202136476086,-0.3467455408336936,-0.0155741078804489,0.5145948139311122,0.12981062559737,-0.3733116420807126,-0.1012074427816534,0.089538556857456,-0.0452103890786462,-0.0560717309604117,2.224094283080013,0.1925925378709165,-0.0113870549624049,0.0082382292143948,7.0,0.4134381264859295,0.311287003482212,0.5558982509024294,0.6965675713964034,0.7795063630798311,0.1875228445470904,448.0,0.9029216096936032,0.6097389647479021,0.0,1.2147059515155725,1.3102478608573065,0.1039675072300538,448.0,-1713.326323858466,-2026.252940439645,312.92661658117913,39.82356874307547,47.53509189228983,0.0,0.3985119609679082,-1713.326323858466,-2026.252940439645,312.92661658117913,35.9880244363863,39.44223843812775,0.0,0.1107638658363169
2022-07-06,0.0258508136839059,6.085980508313629,0.2386226214600586,0.5569170996114559,-0.272781506496938,0.2261470779122557,-0.4064448322187782,-0.3530119008052889,-0.6867335098424363,-0.3449193846848736,0.7763344254025795,0.6681811658485531,1.0,9.163710167922387,0.0102358902371292,-0.0570246452452998,-0.0656008738092934,2.943640146926912,0.012145974149093,4.313303612141566,0.3534338617011265,1.1072862465247877,2.2592018654852297,0.1002600843110714,-0.3717620335839527,-0.1227202136476086,-0.3467455408336936,-0.0155741078804489,0.5145948139311122,0.12981062559737,-0.3733116420807126,-0.1012074427816534,0.089538556857456,-0.0452103890786462,-0.0560717309604117,2.224094283080013,0.2106105399358029,0.0149952701496883,0.0082382292143948,7.0,0.425375278482874,0.3066264506328103,1.2266727348447228,0.6978756822793419,0.7820122216106861,0.1587304158486828,449.0,0.8841496928702705,0.5915778738394764,0.0,1.2115091254758217,1.309532564460203,0.1033878635138902,449.0,-1564.5047942874407,-1933.9033112092045,369.39851692176353,44.67060619136285,44.45022321571194,0.0,0.4362178830701275,-1564.5047942874407,-1933.9033112092045,369.39851692176353,37.11393471683393,39.47342521498207,0.0,0.1377415448171443
2022-07-07,0.0258508136839059,6.085980508313629,0.2386226214600586,0.5569170996114559,-0.272781506496938,0.2261470779122557,-0.4064448322187782,-0.3530119008052889,-0.6867335098424363,-0.3449193846848736,0.7763344254025795,0.6681811658485531,1.0,9.163710167922387,0.0102358902371292,-0.0570246452452998,-0.0656008738092934,2.943640146926912,0.012145974149093,4.313303612141566,0.3534338617011265,1.1072862465247877,2.2592018654852297,0.1002600843110714,-0.3717620335839527,-0.1227202136476086,-0.3467455408336936,-0.0155741078804489,0.5145948139311122,0.12981062559737,-0.3733116420807126,-0.1012074427816534,0.089538556857456,-0.0452103890786462,-0.0560717309604117,2.224094283080013,0.1311934306732738,-0.0678516020641054,0.0082382292143948,7.0,0.5197051261381194,0.3752664007577835,2.1368470089163982,0.7268962623149728,0.7975941882011411,0.1053072602909703,450.0,0.9120881888816624,0.6186249382798308,0.0,1.210411329603805,1.3036899860814464,0.102717090430507,450.0,-1345.575051241336,-1816.2376592156309,470.6626079742948,55.6236268553328,40.63889805804341,4.2614568258562535,-0.0212859496660164,-1345.575051241336,-1816.2376592156309,470.6626079742948,40.11883929680681,39.25806323368319,0.0,0.1644737729086959
2022-07-08,0.0258508136839059,6.085980508313629,0.2386226214600586,0.5569170996114559,-0.272781506496938,0.2261470779122557,-0.4064448322187782,-0.3530119008052889,-0.6867335098424363,-0.3449193846848736,0.7763344254025795,0.6681811658485531,1.0,9.163710167922387,0.0102358902371292,-0.0570246452452998,-0.0656008738092934,2.943640146926912,0.012145974149093,4.313303612141566,0.3534338617011265,1.1072862465247877,2.2592018654852297,0.1002600843110714,-0.3717620335839527,-0.1227202136476086,-0.3467455408336936,-0.0155741078804489,0.5145948139311122,0.12981062559737,-0.3733116420807126,-0.1012074427816534,0.089538556857456,-0.0452103890786462,-0.0560717309604117,2.224094283080013,0.0785447607549791,-0.0476605199748652,0.0082382292143948,7.0,0.4904465544679498,0.3345183285578558,1.9124771307766075,0.7425047118327267,0.8216286252639683,0.0716468425918732,451.0,0.910476095137988,0.6001468794354069,0.0,1.213520813832281,1.3093256626488656,0.0956948648627837,451.0,-1160.7488986981916,-1685.1399071121432,524.3910084139516,55.33065727907926,38.369275500418006,6.509083015107127,0.0314933204056292,-1160.7488986981916,-1685.1399071121432,524.3910084139516,40.0711574996266,38.89988180284955,0.0,0.213667973395091
2022-07-09,0.0258508136839059,6.085980508313629,0.2386226214600586,0.5569170996114559,-0.272781506496938,0.2261470779122557,-0.4064448322187782,-0.3530119008052889,-0.6867335098424363,-0.3449193846848736,0.7763344254025795,0.6681811658485531,1.0,9.163710167922387,0.0102358902371292,-0.0570246452452998,-0.0656008738092934,2.943640146926912,0.012145974149093,4.313303612141566,0.3534338617011265,1.1072862465247877,2.2592018654852297,0.1002600843110714,-0.3717620335839527,-0.1227202136476086,-0.3467455408336936,-0.0155741078804489,0.5145948139311122,0.12981062559737,-0.3733116420807126,-0.1012074427816534,0.089538556857456,-0.0452103890786462,-0.0560717309604117,2.224094283080013,0.15477114558747,0.0682894932203423,0.0082382292143948,7.0,0.4837107742863139,0.3201998262249868,1.722865733741085,0.7432948987619291,0.8231474139850057,0.0718319834595419,452.0,0.9108522486459332,0.5982841567530951,0.0,1.214168709313097,1.3101773047640093,0.0865721258413241,452.0,-1003.3443757803652,-1548.7808008457876,545.4364250654223,55.230522079012125,36.32661519855514,7.310329738089193,0.0602705815980607,-1003.3443757803652,-1548.7808008457876,545.4364250654223,40.05590008603093,38.5536397530437,0.0,0.2676541863510767
2022-07-10,0.0258508136839059,6.085980508313629,0.2386226214600586,0.5569170996114559,-0.272781506496938,0.2261470779122557,-0.4064448322187782,-0.3530119008052889,-0.6867335098424363,-0.3449193846848736,0.7763344254025795,0.6681811658485531,1.0,9.163710167922387,0.0102358902371292,-0.0570246452452998,-0.0656008738092934,2.943640146926912,0.012145974149093,4.313303612141566,0.3534338617011265,1.1072862465247877,2.2592018654852297,0.1002600843110714,-0.3717620335839527,-0.1227202136476086,-0.3467455408336936,-0.0155741078804489,0.5145948139311122,0.12981062559737,-0.3733116420807126,-0.1012074427816534,0.089538556857456,-0.0452103890786462,-0.0560717309604117,2.224094283080013,0.2662732784447323,0.0921759781861363,0.0082382292143948,7.0,0.538258350393447,0.3678065200182204,0.3961097199099749,0.7010898712202797,0.7601079802668439,0.0767500223891655,453.0,0.910820121022122,0.5982203307039972,0.0,0.9837955424720776,1.007295902940455,0.0721686842269492,453.0,-926.5181042546574,-1424.3282615275616,497.8101572729042,46.61413477829007,32.996843798162104,4.669360303159582,0.2236013486140615,-926.5181042546574,-1424.3282615275616,497.8101572729042,38.65624475081354,38.29787058967296,0.0,0.379175873097559
